id,ano,mes,meta_vendas_brl
1,2022,1,855000.00
2,2022,2,810000.00
3,2022,3,882000.00
4,2022,4,900000.00
5,2022,5,918000.00
6,2022,6,945000.00
7,2022,7,972000.00
8,2022,8,990000.00
9,2022,9,945000.00
10,2022,10,1035000.00
11,2022,11,1080000.00
12,2022,12,1170000.00
13,2023,1,923400.00
14,2023,2,874800.00
15,2023,3,952560.00
16,2023,4,972000.00
17,2023,5,991440.00
18,2023,6,1020600.00
19,2023,7,1049760.00
20,2023,8,1069200.00
21,2023,9,1020600.00
22,2023,10,1117800.00
23,2023,11,1166400.00
24,2023,12,1263600.00
25,2024,1,997272.00
26,2024,2,944784.00
27,2024,3,1028764.80
28,2024,4,1048320.00
29,2024,5,1067875.20
30,2024,6,1097820.00
31,2024,7,1127764.80
32,2024,8,1147320.00
33,2024,9,1097820.00
34,2024,10,1207296.00
35,2024,11,1258608.00
36,2024,12,1363680.00
37,2025,1,1076933.76
38,2025,2,1021468.80
39,2025,3,1111065.98
40,2025,4,1132185.60
41,2025,5,1153305.22
42,2025,6,1186713.60
43,2025,7,1220121.98
44,2025,8,1241241.60
45,2025,9,1186713.60
46,2025,10,1303886.40
47,2025,11,1358316.80
48,2025,12,1470652.80
49,2026,1,1163088.46
50,2026,2,1102996.32
51,2026,3,1200000.00
52,2026,4,1222759.20
53,2026,5,1245518.40
54,2026,6,1281696.00
55,2026,7,1317873.60
56,2026,8,1340632.80
57,2026,9,1281696.00
58,2026,10,1408190.40
59,2026,11,1467000.00
60,2026,12,1590400.00
