id,projeto_id,data_venda,valor_final_brl,quantidade_vendida,vendedor_id,regiao,cota_meta_vendas_id
2,2,2024-04-20,4290.4,1,107,Nordeste,1
3,3,2024-07-06,74732.16,16,108,Centro-Oeste,1
5,5,2025-06-25,61992.6,10,104,Centro-Oeste,1
6,6,2024-06-07,149044.0,25,108,Sudeste,1
7,7,2025-04-05,72626.52,6,102,Nordeste,1
8,8,2024-04-07,96322.8,15,108,Norte,1
9,9,2024-06-28,5717.9,1,101,Centro-Oeste,1
10,10,2024-09-30,27517.8,15,108,Sudeste,1
11,11,2024-08-14,42828.1,14,105,Nordeste,1
12,12,2024-11-15,75881.85,15,110,Nordeste,1
13,13,2024-06-09,54525.06,6,108,Centro-Oeste,1
15,15,2024-09-06,75520.98,18,103,Norte,1
16,16,2024-05-22,16209.84,8,104,Centro-Oeste,1
17,17,2024-10-06,64497.24,12,103,Centro-Oeste,1
18,18,2024-04-21,94028.4,45,109,Sul,1
19,19,2024-04-30,65434.33,13,110,Nordeste,1
21,21,2024-06-20,59228.13,57,108,Nordeste,1
22,22,2024-03-08,61196.41,11,102,Nordeste,1
23,23,2024-11-14,55562.6,10,101,Nordeste,1
24,24,2025-04-05,15688.88,8,101,Sudeste,1
26,26,2024-11-27,63420.15,15,110,Sudeste,1
27,27,2024-03-18,46577.3,70,107,Sul,1
28,28,2024-11-25,11943.84,1,104,Centro-Oeste,1
29,29,2025-03-10,119382.12,26,102,Norte,1
30,30,2025-06-12,147856.25,25,106,Centro-Oeste,1
31,31,2024-06-03,122816.7,10,107,Centro-Oeste,1
32,32,2024-04-30,6787.8,1,107,Sudeste,1
33,33,2024-08-17,62199.78,29,106,Sul,1
34,34,2024-06-29,10216.74,1,101,Norte,1
35,35,2024-11-05,39111.0,30,105,Sudeste,1
36,36,2024-11-06,43759.98,9,106,Nordeste,1
37,37,2024-12-11,139829.34,42,107,Norte,1
38,38,2024-11-13,122704.56,11,110,Sudeste,1
39,39,2025-05-21,142173.2,19,106,Centro-Oeste,1
40,40,2024-03-06,61795.8,132,106,Sul,1
41,41,2025-07-04,70130.97,21,106,Centro-Oeste,1
42,42,2024-08-19,94740.48,16,103,Centro-Oeste,1
43,43,2025-07-14,137400.78,33,105,Norte,1
44,44,2024-05-03,98421.16,34,107,Centro-Oeste,1
45,45,2024-06-07,33998.09,7,103,Sul,1
46,46,2024-10-16,65504.48,16,105,Nordeste,1
47,47,2024-08-30,95497.22,14,106,Norte,1
48,48,2025-04-04,46252.83,13,109,Sul,1
49,49,2025-05-09,115773.84,12,102,Centro-Oeste,1
50,50,2024-05-20,4791.12,1,101,Sul,1
51,51,2024-08-29,77653.44,96,108,Centro-Oeste,1
52,52,2025-01-17,73866.24,21,109,Centro-Oeste,1
53,53,2024-02-19,61883.52,24,106,Centro-Oeste,1
54,54,2025-07-02,13901.4,5,101,Sudeste,1
55,55,2024-03-21,76263.44,158,107,Sul,1
56,56,2024-12-30,98995.52,32,109,Sudeste,1
57,57,2024-05-05,37562.46,13,107,Centro-Oeste,1
58,58,2024-12-09,92472.87,21,101,Sul,1
59,59,2024-05-02,101573.29,13,105,Sul,1
60,60,2024-09-25,99204.36,29,109,Nordeste,1
61,61,2024-08-24,79000.95,105,107,Norte,1
62,62,2024-07-31,18950.92,2,105,Nordeste,1
63,63,2024-12-17,115088.78,23,109,Norte,1
64,64,2024-09-06,215329.6,32,105,Sudeste,1
65,65,2024-06-10,66991.47,159,105,Nordeste,1
66,66,2024-05-08,76161.0,60,101,Centro-Oeste,1
67,67,2025-05-21,108908.1,15,109,Nordeste,1
68,68,2025-05-15,86566.75,25,103,Centro-Oeste,1
69,69,2024-07-27,87208.44,12,104,Nordeste,1
70,70,2024-06-20,20569.86,3,104,Centro-Oeste,1
